Node,X,Y,Z,Subnodes,Neighbor_Nodes,Bars,Physical_Bars,Physical_Nodes,Ground,Inner_Outer,Left_Right_Mid
TAG,101.8871626,36.89463698,-54.28216537,TAG-2,FOX_OFF_ORC_TUB,FOX-TAG_OFF-TAG_ORC-TAG_TAG-TUB,FOX-TAG-2_OFF-TAG-2_ORC-TAG-2_TAG-TUB-2,FOX-2_OFF-2_ORC-2_TUB-2,0,inner,right
DRY,-56.95802341,99.52146798,25.78648963,DRY-5,REF_SHY_FLY_FUN,DRY-REF_DRY-SHY_DRY-FLY_DRY-FUN,DRY-REF-5_DRY-SHY-5_DRY-FLY-5_DRY-FUN-5,REF-5_SHY-5_FLY-5_FUN-5,0,outer,left
RIB,0.777001594,-2.205857017,78.78930963,RIB-6_RIB-14,FOG_JUG_IRE,FOG-RIB_JUG-RIB_IRE-RIB,FOG-RIB-14_IRE-RIB-14_JUG-RIB-6,FOG-14_IRE-14_JUG-6,0,outer,mid
TUX,108.4933236,-15.46935902,-22.75135137,TUX-2_TUX-8,ETA_FOX_PAY_GAS,ETA-TUX_FOX-TUX_PAY-TUX_GAS-TUX,ETA-TUX-2_FOX-TUX-2_PAY-TUX-8_GAS-TUX-11,ETA-2_FOX-2_PAY-8_GAS-11,0,outer,right
OFF,79.07137459,60.63561298,-81.79092937,OFF-2,ASK_CIS_GUN_TAG_ORC_WHO,ASK-OFF_CIS-OFF_GUN-OFF_OFF-TAG_OFF-ORC_OFF-WHO,ASK-OFF-2_CIS-OFF-2_GUN-OFF-2_OFF-TAG-2_OFF-ORC-2_OFF-WHO-2,ASK-2_CIS-2_GUN-2_TAG-2_ORC-2_WHO-1,1,inner,right
HAM,-78.12024741,6.428795983,43.02018763,HAM-6,ACT_DUH_NAN_LAX_ZZZ_ICE_ASH,ACT-HAM_DUH-HAM_HAM-NAN_HAM-LAX_HAM-ZZZ_HAM-ICE_ASH-HAM,ACT-HAM-6_DUH-HAM-6_HAM-NAN-6_HAM-LAX-6_HAM-ZZZ-6_HAM-ICE-6_ASH-HAM-12,ACT-6_DUH-6_NAN-6_LAX-6_ZZZ-6_ICE-6_ASH-12,0,outer,left
CHI,-102.5418844,-38.04451102,-16.48294537,CHI-9,AGE_COY_DOG_KIT_MAD,AGE-CHI_CHI-COY_CHI-DOG_CHI-KIT_CHI-MAD,AGE-CHI-9_CHI-COY-9_CHI-DOG-9_CHI-KIT-9_CHI-MAD-9,AGE-9_COY-9_DOG-9_KIT-9_MAD-12,0,outer,left
FIX,74.09911959,-9.163696017,23.39753763,FIX-7_FIX-11,EYE_MAC_ODD,EYE-FIX_FIX-MAC_FIX-ODD,FIX-MAC-11_FIX-ODD-11_EYE-FIX-7,MAC-11_ODD-11_EYE-7,0,inner,right
JAR,84.01051459,-54.19003002,-46.44022937,JAR-8,BAM_WIN_PAY_YAY_SAW,BAM-JAR_JAR-WIN_JAR-PAY_JAR-YAY_JAR-SAW,BAM-JAR-8_JAR-WIN-8_JAR-PAY-8_JAR-YAY-8_JAR-SAW-8,BAM-8_WIN-8_PAY-8_YAY-8_SAW-8,0,inner,right
GIG,41.95506859,-21.83033602,51.21567163,GIG-14_GIG-11,AIR_EVE_IRE,AIR-GIG_EVE-GIG_GIG-IRE,AIR-GIG-11_EVE-GIG-14_GIG-IRE-14,AIR-11_EVE-14_IRE-14,0,inner,right
ZIG,-112.1824644,49.38235198,-30.73944437,ZIG-4,DAY_PAW_SAY_TAX_OAR,DAY-ZIG_PAW-ZIG_SAY-ZIG_TAX-ZIG_OAR-ZIG,DAY-ZIG-4_PAW-ZIG-4_SAY-ZIG-4_TAX-ZIG-4_OAR-ZIG-3,DAY-4_PAW-4_SAY-4_TAX-4_OAR-3,0,outer,left
JAM,30.08529959,-105.085851,49.11054163,JAM-13_JAM-11,ZOO_LIE_HOT_MOO,JAM-ZOO_JAM-LIE_HOT-JAM_JAM-MOO,JAM-ZOO-11_JAM-LIE-13_HOT-JAM-13_JAM-MOO-13,ZOO-11_LIE-13_HOT-13_MOO-10,0,outer,right
FIG,-68.95094441,-94.26845802,33.62420063,FIG-12,ART_BUG_KEY_NOR_YAK,ART-FIG_BUG-FIG_FIG-KEY_FIG-NOR_FIG-YAK,ART-FIG-12_BUG-FIG-12_FIG-KEY-12_FIG-NOR-12_FIG-YAK-12,ART-12_BUG-12_KEY-12_NOR-12_YAK-12,0,outer,left
WET,55.73786259,71.53245898,30.98683663,WET-1_WET-7,ARM_EON_TOY,ARM-WET_EON-WET_TOY-WET,ARM-WET-1_EON-WET-7_TOY-WET-7,ARM-1_EON-7_TOY-7,0,inner,right
GIN,-90.01991741,31.45906698,17.70368663,GIN-6_GIN-4,WIZ_ICE_ZZZ,GIN-WIZ_GIN-ICE_GIN-ZZZ,GIN-WIZ-4_GIN-ICE-6_GIN-ZZZ-6,WIZ-4_ICE-6_ZZZ-6,0,inner,left
LAM,-49.51198841,-46.33818502,61.93299363,LAM-12,ASH_LAB_TRY,ASH-LAM_LAB-LAM_LAM-TRY,ASH-LAM-12_LAB-LAM-12_LAM-TRY-12,ASH-12_LAB-12_TRY-6,0,outer,left
PHI,72.03006459,-102.675703,5.518761628,PHI-11_PHI-8,TAR_SEX_SAW_EAR_WAS_GEL,PHI-TAR_PHI-SEX_PHI-SAW_EAR-PHI_PHI-WAS_GEL-PHI,PHI-TAR-11_EAR-PHI-11_PHI-WAS-11_PHI-SEX-8_PHI-SAW-8_GEL-PHI-10,TAR-11_EAR-11_WAS-11_SEX-8_SAW-8_GEL-10,0,outer,right
OIL,-55.28968041,101.814954,-2.314150372,OIL-3_OIL-5,FLY_INK_RUM_SHY,FLY-OIL_INK-OIL_OIL-RUM_OIL-SHY,INK-OIL-3_FLY-OIL-5_OIL-RUM-5_OIL-SHY-5,INK-3_FLY-5_RUM-5_SHY-5,0,inner,left
NIL,25.22632359,54.72796798,52.16379663,NIL-5_NIL-7,JUG_TOY_EON,JUG-NIL_NIL-TOY_EON-NIL,JUG-NIL-5_NIL-TOY-7_EON-NIL-7,JUG-5_TOY-7_EON-7,0,inner,right
EYE,97.34155959,14.98342398,16.20123563,EYE-7,SUN_FIX_POP_GAS,EYE-SUN_EYE-FIX_EYE-POP_EYE-GAS,EYE-SUN-7_EYE-FIX-7_EYE-POP-7_EYE-GAS-7,SUN-7_FIX-7_POP-7_GAS-11,0,outer,right
ELF,42.59283659,109.975758,-1.147938372,ELF-1,ARM_PIE_WAR_RAD,ARM-ELF_ELF-PIE_ELF-WAR_ELF-RAD,ARM-ELF-1_ELF-PIE-1_ELF-WAR-1_ELF-RAD-1,ARM-1_PIE-1_WAR-1_RAD-1,0,inner,right
LEG,53.69602259,137.684574,-68.68453837,LEG-1,OVA_WHO_RAW_NIX,LEG-OVA_LEG-WHO_LEG-RAW_LEG-NIX,LEG-OVA-1_LEG-WHO-1_LEG-RAW-1_LEG-NIX-1,OVA-1_WHO-1_RAW-1_NIX-1,0,outer,right
LAB,-37.12603241,-72.32935502,62.35637563,LAB-13_LAB-12,BUG_LAM_YAK_TAU_ZAP_OLD,BUG-LAB_LAB-LAM_LAB-YAK_LAB-TAU_LAB-ZAP_LAB-OLD,LAB-YAK-13_LAB-TAU-13_LAB-ZAP-13_LAB-OLD-13_BUG-LAB-12_LAB-LAM-12,YAK-13_TAU-13_ZAP-13_OLD-13_BUG-12_LAM-12,0,outer,left
KIT,-93.70142841,-68.56138902,-19.98796437,KIT-9,CHI_ELK_WIG_ONO_ART,CHI-KIT_ELK-KIT_KIT-WIG_KIT-ONO_ART-KIT,CHI-KIT-9_ELK-KIT-9_KIT-WIG-9_KIT-ONO-9_ART-KIT-12,CHI-9_ELK-9_WIG-9_ONO-9_ART-12,0,outer,left
MAY,-42.89736841,147.070363,-46.28103337,MAY-3,GUT_HEX_INK_RUM_SIP,GUT-MAY_HEX-MAY_INK-MAY_MAY-RUM_MAY-SIP,GUT-MAY-3_HEX-MAY-3_INK-MAY-3_MAY-RUM-3_MAY-SIP-3,GUT-3_HEX-3_INK-3_RUM-3_SIP-3,0,outer,left
NIX,19.61778759,146.65104,-71.21173037,NIX-1,LEG_SPY_OVA_WHO_PIE,LEG-NIX_NIX-SPY_NIX-OVA_NIX-WHO_NIX-PIE,LEG-NIX-1_NIX-SPY-1_NIX-OVA-1_NIX-WHO-1_NIX-PIE-1,LEG-1_SPY-1_OVA-1_WHO-1_PIE-1,1,inner,right
OVA,37.55681159,148.781207,-44.57590737,OVA-1,LEG_NIX_PIE_RAD_SPY,LEG-OVA_NIX-OVA_OVA-PIE_OVA-RAD_OVA-SPY,LEG-OVA-1_NIX-OVA-1_OVA-PIE-1_OVA-RAD-1_OVA-SPY-1,LEG-1_NIX-1_PIE-1_RAD-1_SPY-1,0,outer,right
LAX,-79.20396241,-13.41357102,26.66345463,LAX-6_LAX-12,HAM_ASH_MAD,HAM-LAX_ASH-LAX_LAX-MAD,ASH-LAX-12_LAX-MAD-12_HAM-LAX-6,ASH-12_MAD-12_HAM-6,0,inner,left
MAD,-97.55815141,-29.18252802,13.65649863,MAD-12,ART_BED_LAX_CHI_ICE,ART-MAD_BED-MAD_LAX-MAD_CHI-MAD_ICE-MAD,ART-MAD-12_BED-MAD-12_LAX-MAD-12_CHI-MAD-9_ICE-MAD-6,ART-12_BED-12_LAX-12_CHI-9_ICE-6,0,outer,left
BOX,-102.3783024,45.64410998,-89.24967437,BOX-4,HUG_GYM_VAN_LID_EGO,BOX-HUG_BOX-GYM_BOX-VAN_BOX-LID_BOX-EGO,BOX-HUG-4_BOX-GYM-4_BOX-VAN-4_BOX-LID-4_BOX-EGO-4,HUG-4_GYM-4_VAN-4_LID-3_EGO-3,1,outer,left
AGO,-77.59085641,99.85877998,-32.02837637,AGO-3,ALA_OAR,AGO-ALA_AGO-OAR,AGO-ALA-3_AGO-OAR-3,ALA-3_OAR-3,0,inner,left
YES,54.23545259,26.39750798,41.98318563,YES-7,EON_IRE_POP,EON-YES_IRE-YES_POP-YES,EON-YES-7_IRE-YES-7_POP-YES-7,EON-7_IRE-7_POP-7,0,inner,right
LAW,10.22523459,-26.85873602,65.73183363,LAW-14,FOG_IRE_OLD,FOG-LAW_IRE-LAW_LAW-OLD,FOG-LAW-14_IRE-LAW-14_LAW-OLD-14,FOG-14_IRE-14_OLD-14,0,inner,right
ZAP,-18.45769141,-88.78774802,49.77636063,ZAP-13,HOT_LAB_PRO,HOT-ZAP_LAB-ZAP_PRO-ZAP,HOT-ZAP-13_LAB-ZAP-13_PRO-ZAP-13,HOT-13_LAB-13_PRO-13,0,inner,left
FLY,-82.18924841,94.36766498,1.048107628,FLY-3_FLY-5,ALA_OIL_OAR_TAX_DRY_VOW_WIZ,ALA-FLY_FLY-OIL_FLY-OAR_FLY-TAX_DRY-FLY_FLY-VOW_FLY-WIZ,ALA-FLY-3_FLY-OAR-3_FLY-TAX-3_FLY-OIL-5_DRY-FLY-5_FLY-VOW-5_FLY-WIZ-5,ALA-3_OAR-3_TAX-3_OIL-5_DRY-5_VOW-5_WIZ-4,0,outer,left
AHI,39.02183059,34.45504998,64.71688063,AHI-7,IRE_EON_JUG,AHI-IRE_AHI-EON_AHI-JUG,AHI-IRE-7_AHI-EON-7_AHI-JUG-7,IRE-7_EON-7_JUG-6,0,outer,right
LUG,87.02662859,-36.21138802,-5.755776372,LUG-11_LUG-8,KEG_PAY_GAS,KEG-LUG_LUG-PAY_GAS-LUG,KEG-LUG-11_GAS-LUG-11_LUG-PAY-8,KEG-11_GAS-11_PAY-8,0,inner,right
FLU,-106.7256264,-7.093324017,-80.89485437,FLU-4,BAR_CUP_HUG_VAN_SIR,BAR-FLU_CUP-FLU_FLU-HUG_FLU-VAN_FLU-SIR,BAR-FLU-4_CUP-FLU-4_FLU-HUG-4_FLU-VAN-4_FLU-SIR-4,BAR-4_CUP-4_HUG-4_VAN-4_SIR-9,1,outer,left
GUN,80.21752159,86.71068098,-50.51652737,GUN-1_GUN-2,FRO_JOY_WHO_OFF_TUB,FRO-GUN_GUN-JOY_GUN-WHO_GUN-OFF_GUN-TUB,FRO-GUN-1_GUN-JOY-1_GUN-WHO-1_GUN-OFF-2_GUN-TUB-2,FRO-1_JOY-1_WHO-1_OFF-2_TUB-2,0,inner,right
BED,-94.74560041,-9.822877017,-9.187424372,BED-12_BED-9_BED-4,DOG_SAY_MAD,BED-DOG_BED-SAY_BED-MAD,BED-MAD-12_BED-DOG-4_BED-SAY-4,MAD-12_DOG-4_SAY-4,0,inner,left
GUT,-58.81736041,125.501099,-49.45211537,GUT-3,INK_MAY_WAX_MIX_RUM_SIP,GUT-INK_GUT-MAY_GUT-WAX_GUT-MIX_GUT-RUM_GUT-SIP,GUT-INK-3_GUT-MAY-3_GUT-WAX-3_GUT-MIX-3_GUT-RUM-3_GUT-SIP-3,INK-3_MAY-3_WAX-3_MIX-3_RUM-3_SIP-3,0,inner,left
FUN,-41.77578841,81.21320698,46.46754063,FUN-5,DRY_NAY_PLY_VOW_FAN,DRY-FUN_FUN-NAY_FUN-PLY_FUN-VOW_FAN-FUN,DRY-FUN-5_FUN-NAY-5_FUN-PLY-5_FUN-VOW-5_FAN-FUN-6,DRY-5_NAY-5_PLY-5_VOW-5_FAN-6,0,outer,left
HUG,-93.46122141,17.77017398,-89.94626137,HUG-4,BOX_CUP_FLU_GYM_VAN_SIR_LID,BOX-HUG_CUP-HUG_FLU-HUG_GYM-HUG_HUG-VAN_HUG-SIR_HUG-LID,BOX-HUG-4_CUP-HUG-4_FLU-HUG-4_GYM-HUG-4_HUG-VAN-4_HUG-SIR-4_HUG-LID-4,BOX-4_CUP-4_FLU-4_GYM-4_VAN-4_SIR-9_LID-3,1,inner,left
SIR,-85.17058541,-36.93601502,-81.99597937,SIR-9,AGE_BAR_ELK_ONO_TAT_CUP_FLU_HUG,AGE-SIR_BAR-SIR_ELK-SIR_ONO-SIR_SIR-TAT_CUP-SIR_FLU-SIR_HUG-SIR,AGE-SIR-9_BAR-SIR-9_ELK-SIR-9_ONO-SIR-9_SIR-TAT-9_CUP-SIR-4_FLU-SIR-4_HUG-SIR-4,AGE-9_BAR-9_ELK-9_ONO-9_TAT-9_CUP-4_FLU-4_HUG-4,1,inner,left
JUG,-5.433488406,37.92189098,71.05300363,JUG-5_JUG-6,JOB_NIL_ERA_RIB_SOY_MOP_AHI,JOB-JUG_JUG-NIL_ERA-JUG_JUG-RIB_JUG-SOY_JUG-MOP_AHI-JUG,JOB-JUG-5_JUG-NIL-5_ERA-JUG-6_JUG-RIB-6_JUG-SOY-6_JUG-MOP-6_AHI-JUG-7,JOB-5_NIL-5_ERA-6_RIB-6_SOY-6_MOP-6_AHI-7,0,outer,mid
GET,-11.22186041,-141.007733,-35.38363137,GET-10,CAB_COP_DAD_FOR_OAK_HIP_RUG_NEW,CAB-GET_COP-GET_DAD-GET_FOR-GET_GET-OAK_GET-HIP_GET-RUG_GET-NEW,CAB-GET-10_COP-GET-10_DAD-GET-10_FOR-GET-10_GET-OAK-10_GET-HIP-10_GET-RUG-10_GET-NEW-10,CAB-10_COP-10_DAD-10_FOR-10_OAK-10_HIP-10_RUG-10_NEW-10,1,inner,left
ROB,41.82992959,-142.516761,-24.93582837,ROB-10,AMP_CAB_GEL_OAK_SEX,AMP-ROB_CAB-ROB_GEL-ROB_OAK-ROB_ROB-SEX,AMP-ROB-10_CAB-ROB-10_GEL-ROB-10_OAK-ROB-10_ROB-SEX-10,AMP-10_CAB-10_GEL-10_OAK-10_SEX-10,0,outer,right
MAC,68.15962259,1.329739983,49.85057663,MAC-11_MAC-7,FIX_IRE_POP_AIR,FIX-MAC_IRE-MAC_MAC-POP_AIR-MAC,FIX-MAC-11_AIR-MAC-11_IRE-MAC-7_MAC-POP-7,FIX-11_AIR-11_IRE-7_POP-7,0,outer,right
AMP,51.99566359,-118.984127,-45.29832237,AMP-8_AMP-10,SEX_YAY_SAW_ROB_CAB,AMP-SEX_AMP-YAY_AMP-SAW_AMP-ROB_AMP-CAB,AMP-SEX-10_AMP-ROB-10_AMP-CAB-10_AMP-YAY-8_AMP-SAW-8,SEX-10_ROB-10_CAB-10_YAY-8_SAW-8,1,outer,right
BUG,-59.09933341,-64.50047202,38.98281863,BUG-12,ASH_LAB_FIG,ASH-BUG_BUG-LAB_BUG-FIG,ASH-BUG-12_BUG-LAB-12_BUG-FIG-12,ASH-12_LAB-12_FIG-12,0,inner,left
GEL,53.08506359,-136.052756,7.895627628,GEL-10,DAD_ROB_MOO_PHI,DAD-GEL_GEL-ROB_GEL-MOO_GEL-PHI,DAD-GEL-10_GEL-ROB-10_GEL-MOO-10_GEL-PHI-10,DAD-10_ROB-10_MOO-10_PHI-8,0,outer,right
FOR,-1.859306406,-159.398511,-11.69254437,FOR-10,EGG_OAK_GET_RUG_HIP,EGG-FOR_FOR-OAK_FOR-GET_FOR-RUG_FOR-HIP,EGG-FOR-10_FOR-OAK-10_FOR-GET-10_FOR-RUG-10_FOR-HIP-10,EGG-10_OAK-10_GET-10_RUG-10_HIP-10,0,outer,mid
TAU,-21.30092041,-46.13249602,61.36783063,TAU-14_TAU-13_TAU-6,TRY_LAB_OLD,TAU-TRY_LAB-TAU_OLD-TAU,LAB-TAU-13_OLD-TAU-14_TAU-TRY-6,LAB-13_OLD-14_TRY-6,0,inner,left
SHY,-28.92061941,125.976734,7.891281628,SHY-5,BOA_DRY_HOW_OIL_REF_INK,BOA-SHY_DRY-SHY_HOW-SHY_OIL-SHY_REF-SHY_INK-SHY,BOA-SHY-5_DRY-SHY-5_HOW-SHY-5_OIL-SHY-5_REF-SHY-5_INK-SHY-3,BOA-5_DRY-5_HOW-5_OIL-5_REF-5_INK-3,0,outer,left
