Bar_name,Modules,Min_X,Min_Y,Min_Z,Max_X,Max_Y,Max_Z,Nodes,Physical_Bars,Physical_Nodes,Adjacent_Nodes,Adjacent_Physical_Bars,Adjacent_Bars,Adjacent_Physical_Nodes,Ground
DUB-WET,1,43.10971859,76.25100098,26.61509863,54.51494159,102.496384,29.54441263,DUB_WET,DUB-WET-1,"['ARM', 'TOY', 'WAR', 'ELF', 'BRO', 'NOM']",DUB-1_WET-1,"['ARM-DUB-1', 'DUB-WAR-1', 'DUB-ELF-1', 'DUB-TOY-5', 'DUB-WAR-5', 'ELF-WET-1', 'NOM-WET-1', 'BRO-WET-7', 'NOM-WET-7', 'TOY-WET-7']","['ARM-DUB', 'DUB-TOY', 'DUB-WAR', 'DUB-ELF', 'BRO-WET', 'ELF-WET', 'NOM-WET', 'TOY-WET']","['ARM-1', 'WAR-1', 'ELF-1', 'TOY-5', 'WAR-5', 'ELF-1', 'NOM-1', 'BRO-7', 'NOM-7', 'TOY-7']",0
JAR-WHY,8,84.01051459,-61.09995302,-46.44022937,93.63453159,-54.19003002,-20.31834037,JAR_WHY,JAR-WHY-8,"['ETA', 'PAY', 'YAY', 'SAW', 'KEG', 'TAR']",JAR-8_WHY-8,"['ETA-JAR-8', 'JAR-PAY-8', 'JAR-YAY-8', 'JAR-SAW-8', 'KEG-WHY-8', 'PAY-WHY-8', 'SAW-WHY-8', 'TAR-WHY-8']","['ETA-JAR', 'JAR-PAY', 'JAR-YAY', 'JAR-SAW', 'KEG-WHY', 'PAY-WHY', 'SAW-WHY', 'TAR-WHY']","['ETA-8', 'PAY-8', 'YAY-8', 'SAW-8', 'KEG-8', 'PAY-8', 'SAW-8', 'TAR-8']",0
PIE-RAD,1,18.90968059,135.015985,-30.11467737,45.56589559,136.201273,-17.33008237,PIE_RAD,PIE-RAD-1,"['NIX', 'OVA', 'RUM', 'BIO', 'GAL', 'SPY']",PIE-1_RAD-1,"['NIX-PIE-1', 'OVA-PIE-1', 'PIE-RUM-1', 'BIO-RAD-1', 'GAL-RAD-1', 'OVA-RAD-1', 'RAD-SPY-1']","['NIX-PIE', 'OVA-PIE', 'PIE-RUM', 'BIO-RAD', 'GAL-RAD', 'OVA-RAD', 'RAD-SPY']","['NIX-1', 'OVA-1', 'RUM-5', 'BIO-1', 'GAL-1', 'OVA-1', 'SPY-1']",0
LAX-NAN,6,-79.20396241,-13.41357102,26.66345463,-56.65210441,24.70875698,41.61903863,LAX_NAN,LAX-NAN-6,"['BUG', 'GIN', 'HAM', 'MAD', 'FAN', 'SOY', 'PLY']",LAX-6_NAN-6,"['BUG-LAX-12', 'LAX-MAD-12', 'GIN-LAX-6', 'HAM-LAX-6', 'FAN-NAN-6', 'NAN-SOY-6', 'NAN-PLY-6']","['BUG-LAX', 'GIN-LAX', 'HAM-LAX', 'LAX-MAD', 'FAN-NAN', 'NAN-SOY', 'NAN-PLY']","['BUG-12', 'MAD-12', 'GIN-6', 'HAM-6', 'FAN-6', 'SOY-6', 'PLY-6']",0
DRY-FUN,5,-56.95802341,81.21320698,25.78648963,-41.77578841,99.52146798,46.46754063,DRY_FUN,DRY-FUN-5,"['SHY', 'FLY', 'FAN', 'NAY', 'PLY', 'REF']",DRY-5_FUN-5,"['DRY-SHY-5', 'DRY-FLY-5', 'FUN-NAY-5', 'FUN-PLY-5', 'FUN-REF-5', 'FAN-FUN-6']","['DRY-SHY', 'DRY-FLY', 'FAN-FUN', 'FUN-NAY', 'FUN-PLY', 'FUN-REF']","['SHY-5', 'FLY-5', 'NAY-5', 'PLY-5', 'REF-5', 'FAN-6']",0
LIE-ZOO,11,25.37320059,-79.92789602,45.84201263,53.59552959,-71.04085602,52.34109163,LIE_ZOO,LIE-ZOO-11,"['FAX', 'TAU', 'PIG', 'EAR', 'JAM', 'WAS']",LIE-11_ZOO-11,"['FAX-LIE-11', 'LIE-TAU-13', 'LIE-PIG-13', 'LIE-TAU-14', 'EAR-ZOO-11', 'JAM-ZOO-11', 'WAS-ZOO-11']","['FAX-LIE', 'LIE-TAU', 'LIE-PIG', 'EAR-ZOO', 'JAM-ZOO', 'WAS-ZOO']","['FAX-11', 'TAU-13', 'PIG-13', 'TAU-14', 'EAR-11', 'JAM-11', 'WAS-11']",0
ELF-WET,1,42.59283659,76.25100098,-1.147938372,54.51494159,109.975758,26.61509863,ELF_WET,ELF-WET-1,"['ADO', 'DUB', 'GAL', 'WAR', 'BRO', 'NOM', 'TOY']",ELF-1_WET-1,"['DUB-ELF-1', 'ELF-GAL-1', 'ELF-WAR-1', 'ADO-ELF-5', 'DUB-WET-1', 'NOM-WET-1', 'BRO-WET-7', 'NOM-WET-7', 'TOY-WET-7']","['ADO-ELF', 'DUB-ELF', 'ELF-GAL', 'ELF-WAR', 'BRO-WET', 'DUB-WET', 'NOM-WET', 'TOY-WET']","['DUB-1', 'GAL-1', 'WAR-1', 'ADO-5', 'DUB-1', 'NOM-1', 'BRO-7', 'NOM-7', 'TOY-7']",0
GUN-OFF,2,79.07137459,60.63561298,-81.79092937,82.23037459,83.33962298,-50.55793937,GUN_OFF,GUN-OFF-2,"['JOY', 'RAW', 'WHO', 'TUB', 'ASK', 'CIS', 'TAG', 'ORC']",GUN-2_OFF-2,"['GUN-JOY-1', 'GUN-RAW-1', 'GUN-WHO-1', 'GUN-TUB-2', 'ASK-OFF-2', 'CIS-OFF-2', 'OFF-TAG-2', 'OFF-ORC-2', 'OFF-WHO-2']","['GUN-JOY', 'GUN-RAW', 'GUN-WHO', 'GUN-TUB', 'ASK-OFF', 'CIS-OFF', 'OFF-WHO', 'OFF-TAG', 'OFF-ORC']","['JOY-1', 'RAW-1', 'WHO-1', 'TUB-2', 'ASK-2', 'CIS-2', 'TAG-2', 'ORC-2', 'WHO-1']",0
ONO-USE,9,-88.90182941,-98.69556402,-63.50000837,-66.40635841,-62.98485202,-51.81747737,ONO_USE,ONO-USE-9,"['BAR', 'KIT', 'SIR', 'TAT', 'COP', 'ELK', 'NEW', 'WIG']",ONO-9_USE-9,"['BAR-ONO-9', 'KIT-ONO-9', 'ONO-SIR-9', 'ONO-TAT-9', 'COP-USE-9', 'ELK-USE-9', 'USE-WIG-9', 'NEW-USE-10']","['BAR-ONO', 'KIT-ONO', 'ONO-SIR', 'ONO-TAT', 'COP-USE', 'ELK-USE', 'NEW-USE', 'USE-WIG']","['BAR-9', 'KIT-9', 'SIR-9', 'TAT-9', 'COP-9', 'ELK-9', 'WIG-9', 'NEW-10']",0
BAM-CIS,8,73.08419059,-39.61716802,-83.34339637,85.32510359,11.66894898,-82.83059537,BAM_CIS,BAM-CIS-8,"['BAH', 'YAY', 'HAY', 'WIN', 'ETA', 'TAG', 'OFF']",BAM-8_CIS-2,"['BAH-BAM-8', 'BAM-YAY-8', 'BAM-HAY-8', 'BAM-WIN-8', 'BAH-CIS-2', 'CIS-ETA-2', 'CIS-TAG-2', 'CIS-OFF-2']","['BAH-BAM', 'BAM-YAY', 'BAM-HAY', 'BAM-WIN', 'BAH-CIS', 'CIS-ETA', 'CIS-TAG', 'CIS-OFF']","['BAH-8', 'YAY-8', 'HAY-8', 'WIN-8', 'BAH-2', 'ETA-2', 'TAG-2', 'OFF-2']",1
DAY-ZIG,4,-112.1824644,29.94447198,-30.73944437,-94.73552341,49.38235198,-26.25327037,DAY_ZIG,DAY-ZIG-4,"['BED', 'TAX', 'PAW', 'GYM', 'OAR']",DAY-4_ZIG-4,"['BED-DAY-4', 'DAY-TAX-4', 'DAY-PAW-4', 'DAY-GYM-4', 'PAW-ZIG-4', 'OAR-ZIG-3']","['BED-DAY', 'DAY-TAX', 'DAY-PAW', 'DAY-GYM', 'OAR-ZIG', 'PAW-ZIG']","['BED-4', 'TAX-4', 'PAW-4', 'GYM-4', 'PAW-4', 'OAR-3']",0
EGG-MOO,10,4.830568594,-149.573482,21.92542263,31.52915659,-135.876097,28.76128663,EGG_MOO,EGG-MOO-10,"['ALL', 'DAD', 'RUG', 'FOR', 'GEL', 'JAM']",EGG-10_MOO-10,"['ALL-EGG-10', 'DAD-EGG-10', 'EGG-RUG-10', 'EGG-FOR-10', 'DAD-MOO-10', 'GEL-MOO-10', 'JAM-MOO-13']","['ALL-EGG', 'DAD-EGG', 'EGG-RUG', 'EGG-FOR', 'DAD-MOO', 'GEL-MOO', 'JAM-MOO']","['ALL-10', 'DAD-10', 'RUG-10', 'FOR-10', 'DAD-10', 'GEL-10', 'JAM-13']",0
GOO-ZAP,13,-41.85655141,-112.918897,27.08052363,-18.45769141,-88.78774802,49.77636063,GOO_ZAP,GOO-ZAP-13,"['RUG', 'KEY', 'PIG', 'WOW', 'BUG', 'HOT', 'PRO', 'YAK']",GOO-13_ZAP-13,"['GOO-RUG-10', 'GOO-PIG-10', 'GOO-WOW-10', 'GOO-PIG-13', 'GOO-KEY-12', 'HOT-ZAP-13', 'PRO-ZAP-13', 'YAK-ZAP-13', 'BUG-ZAP-12']","['GOO-RUG', 'GOO-KEY', 'GOO-PIG', 'GOO-WOW', 'BUG-ZAP', 'HOT-ZAP', 'PRO-ZAP', 'YAK-ZAP']","['RUG-10', 'PIG-10', 'WOW-10', 'PIG-13', 'KEY-12', 'HOT-13', 'PRO-13', 'YAK-13', 'BUG-12']",0
BIO-NOM,1,66.46786359,89.93827798,-9.524659372,74.50482659,118.555503,-8.540843372,BIO_NOM,BIO-NOM-1,"['ARM', 'JOY', 'RAD', 'WET']",BIO-1_NOM-1,"['ARM-BIO-1', 'BIO-JOY-1', 'BIO-RAD-1', 'ARM-NOM-1', 'NOM-WET-1', 'NOM-WET-7']","['ARM-BIO', 'BIO-JOY', 'BIO-RAD', 'ARM-NOM', 'NOM-WET']","['ARM-1', 'JOY-1', 'RAD-1', 'ARM-1', 'WET-1', 'WET-7']",0
BED-ICE,4,-101.4324874,-6.208093017,-12.62538737,-96.50953441,2.363567983,14.99575363,BED_ICE,BED-ICE-4,"['DOG', 'SAY', 'CHI', 'DAY', 'HAM', 'MAD']",BED-4_ICE-4,"['BED-DOG-4', 'BED-SAY-4', 'BED-DAY-4', 'BED-DOG-9', 'BED-CHI-9', 'ICE-SAY-4', 'HAM-ICE-6', 'ICE-MAD-6']","['BED-DOG', 'BED-SAY', 'BED-CHI', 'BED-DAY', 'HAM-ICE', 'ICE-MAD', 'ICE-SAY']","['DOG-4', 'SAY-4', 'DAY-4', 'DOG-9', 'CHI-9', 'SAY-4', 'HAM-6', 'MAD-12']",0
BOA-HOW,5,-4.902155406,113.990935,4.278644628,3.807477594,116.592725,32.01739663,BOA_HOW,BOA-HOW-5,"['REF', 'SHY', 'NAY', 'RUM']",BOA-5_HOW-5,"['BOA-REF-5', 'BOA-SHY-5', 'BOA-NAY-5', 'HOW-REF-5', 'HOW-RUM-5', 'HOW-SHY-5']","['BOA-REF', 'BOA-SHY', 'BOA-NAY', 'HOW-REF', 'HOW-RUM', 'HOW-SHY']","['REF-5', 'SHY-5', 'NAY-5', 'REF-5', 'RUM-5', 'SHY-5']",0
GOO-WOW,10,-56.48277041,-131.871081,-17.25148337,-41.43612741,-116.655241,25.71561463,GOO_WOW,GOO-WOW-10,"['ZAP', 'RUG', 'KEY', 'PIG', 'COP', 'GET', 'WIG']",GOO-10_WOW-10,"['GOO-RUG-10', 'GOO-PIG-10', 'GOO-ZAP-13', 'GOO-PIG-13', 'GOO-KEY-12', 'COP-WOW-10', 'GET-WOW-10', 'COP-WOW-9', 'KEY-WOW-9', 'WIG-WOW-9']","['GOO-ZAP', 'GOO-RUG', 'GOO-KEY', 'GOO-PIG', 'COP-WOW', 'GET-WOW', 'KEY-WOW', 'WIG-WOW']","['RUG-10', 'PIG-10', 'ZAP-13', 'PIG-13', 'KEY-12', 'COP-10', 'GET-10', 'COP-9', 'KEY-9', 'WIG-9']",0
GYM-LID,3,-101.3163384,52.41292698,-99.65481637,-75.29686741,66.12933398,-61.52199537,GYM_LID,GYM-LID-3,"['DAY', 'EGO', 'OAR', 'HUG', 'AIM', 'BOX', 'WAX']",GYM-3_LID-3,"['EGO-GYM-3', 'GYM-OAR-3', 'DAY-GYM-4', 'GYM-HUG-4', 'AIM-LID-3', 'EGO-LID-3', 'LID-WAX-3', 'BOX-LID-4', 'HUG-LID-4']","['DAY-GYM', 'EGO-GYM', 'GYM-OAR', 'GYM-HUG', 'AIM-LID', 'BOX-LID', 'EGO-LID', 'HUG-LID', 'LID-WAX']","['EGO-3', 'OAR-3', 'DAY-4', 'HUG-4', 'AIM-3', 'EGO-3', 'WAX-3', 'BOX-4', 'HUG-4']",0
AIR-ODD,11,71.13112059,-36.78945902,22.52835163,85.97783059,-32.43153802,43.73215663,AIR_ODD,AIR-ODD-11,"['COW', 'GIG', 'MAC', 'FAX', 'FIX', 'GAS', 'KEG']",AIR-11_ODD-11,"['AIR-COW-11', 'AIR-GIG-11', 'AIR-MAC-11', 'AIR-FAX-11', 'COW-ODD-11', 'FIX-ODD-11', 'GAS-ODD-11', 'KEG-ODD-11']","['AIR-COW', 'AIR-GIG', 'AIR-MAC', 'AIR-FAX', 'COW-ODD', 'FIX-ODD', 'GAS-ODD', 'KEG-ODD']","['COW-11', 'GIG-11', 'MAC-11', 'FAX-11', 'COW-11', 'FIX-11', 'GAS-11', 'KEG-11']",0
BIO-JOY,1,66.46786359,108.367809,-32.10448937,84.05906559,118.555503,-9.524659372,BIO_JOY,BIO-JOY-1,"['ARM', 'NOM', 'RAD', 'DIG', 'GUN', 'SPY']",BIO-1_JOY-1,"['ARM-BIO-1', 'BIO-NOM-1', 'BIO-RAD-1', 'GUN-JOY-1', 'JOY-SPY-1', 'DIG-JOY-2']","['ARM-BIO', 'BIO-NOM', 'BIO-RAD', 'DIG-JOY', 'GUN-JOY', 'JOY-SPY']","['ARM-1', 'NOM-1', 'RAD-1', 'GUN-1', 'SPY-1', 'DIG-2']",0
ADO-JOB,5,3.845794594,74.53298798,38.38084263,11.85316059,92.98717298,59.56868863,ADO_JOB,ADO-JOB-5,"['NIL', 'WAR', 'ELF', 'PLY', 'NAY', 'JUG', 'TOY']",ADO-5_JOB-5,"['ADO-NIL-5', 'ADO-WAR-5', 'ADO-PLY-5', 'ADO-ELF-5', 'JOB-NAY-5', 'JOB-JUG-5', 'JOB-TOY-5']","['ADO-NIL', 'ADO-WAR', 'ADO-ELF', 'ADO-PLY', 'JOB-NAY', 'JOB-JUG', 'JOB-TOY']","['NIL-5', 'WAR-5', 'PLY-5', 'ELF-1', 'NAY-5', 'JUG-5', 'TOY-5']",0
BAH-CIS,2,85.32510359,-14.53845802,-82.83059537,97.16048159,11.66894898,-78.92810637,BAH_CIS,BAH-CIS-2,"['BOY', 'WIN', 'BAM', 'ETA', 'TAG', 'OFF']",BAH-2_CIS-2,"['BAH-BOY-2', 'BAH-WIN-8', 'BAH-BAM-8', 'CIS-ETA-2', 'CIS-TAG-2', 'CIS-OFF-2', 'BAM-CIS-8']","['BAH-BOY', 'BAH-WIN', 'BAH-BAM', 'BAM-CIS', 'CIS-ETA', 'CIS-TAG', 'CIS-OFF']","['BOY-2', 'WIN-8', 'BAM-8', 'ETA-2', 'TAG-2', 'OFF-2', 'BAM-8']",0
BRO-EON,7,62.85992059,51.31187898,23.31367063,82.03459059,72.08309498,48.11208163,BRO_EON,BRO-EON-7,"['ACE', 'ARM', 'WET', 'HIT', 'AHI', 'POP', 'NIL', 'TOY']",BRO-7_EON-7,"['ACE-BRO-7', 'BRO-WET-7', 'BRO-HIT-7', 'ARM-BRO-1', 'AHI-EON-7', 'EON-POP-7', 'EON-NIL-7', 'EON-TOY-7']","['ACE-BRO', 'ARM-BRO', 'BRO-WET', 'BRO-HIT', 'AHI-EON', 'EON-POP', 'EON-NIL', 'EON-TOY']","['ACE-7', 'WET-7', 'HIT-7', 'ARM-1', 'AHI-7', 'POP-7', 'NIL-7', 'TOY-7']",0
IVY-TUX,2,94.59196259,-11.23492602,-23.19177837,107.8582086,13.11335398,-16.07717937,IVY_TUX,IVY-TUX-2,"['ETA', 'FOX', 'GAS', 'SKY', 'LUG', 'PAY']",IVY-2_TUX-2,"['ETA-IVY-2', 'FOX-IVY-2', 'IVY-SKY-2', 'GAS-IVY-11', 'FOX-TUX-2', 'LUG-TUX-8', 'PAY-TUX-8', 'GAS-TUX-11']","['ETA-IVY', 'FOX-IVY', 'GAS-IVY', 'IVY-SKY', 'FOX-TUX', 'GAS-TUX', 'LUG-TUX', 'PAY-TUX']","['ETA-2', 'FOX-2', 'SKY-2', 'GAS-11', 'FOX-2', 'LUG-8', 'PAY-8', 'GAS-11']",0
DIG-JOY,2,84.05906559,82.04294498,-32.10448937,99.36351259,108.367809,-25.19441537,DIG_JOY,DIG-JOY-2,"['HIT', 'DUI', 'TUB', 'BIO', 'GUN', 'SPY']",DIG-2_JOY-1,"['DIG-HIT-2', 'DIG-DUI-2', 'DIG-TUB-2', 'BIO-JOY-1', 'GUN-JOY-1', 'JOY-SPY-1']","['DIG-HIT', 'DIG-DUI', 'DIG-TUB', 'BIO-JOY', 'GUN-JOY', 'JOY-SPY']","['HIT-2', 'DUI-2', 'TUB-2', 'BIO-1', 'GUN-1', 'SPY-1']",0
FOG-TRY,6,-39.11595341,-21.90110802,71.77933563,-14.02564141,-19.65037802,77.66722063,FOG_TRY,FOG-TRY-6,"['TAU', 'LAW', 'RIB', 'OLD', 'DUH', 'LAM', 'SOY']",FOG-6_TRY-6,"['FOG-TAU-14', 'FOG-LAW-14', 'FOG-RIB-14', 'FOG-OLD-14', 'FOG-TAU-6', 'FOG-RIB-6', 'DUH-TRY-6', 'SOY-TRY-6', 'TAU-TRY-6', 'LAM-TRY-12']","['FOG-TAU', 'FOG-LAW', 'FOG-RIB', 'FOG-OLD', 'DUH-TRY', 'LAM-TRY', 'SOY-TRY', 'TAU-TRY']","['TAU-14', 'LAW-14', 'RIB-14', 'OLD-14', 'TAU-6', 'RIB-6', 'DUH-6', 'SOY-6', 'TAU-6', 'LAM-12']",0
MAC-YES,7,54.23545259,1.329739983,41.98318563,68.15962259,26.39750798,49.85057663,MAC_YES,MAC-YES-7,"['AIR', 'POP', 'ACE', 'ERA', 'GIG', 'IRE']",MAC-7_YES-7,"['AIR-MAC-11', 'MAC-POP-7', 'ACE-YES-7', 'ERA-YES-7', 'IRE-YES-7', 'GIG-YES-14']","['AIR-MAC', 'MAC-POP', 'ACE-YES', 'ERA-YES', 'GIG-YES', 'IRE-YES']","['AIR-11', 'POP-7', 'ACE-7', 'ERA-7', 'IRE-7', 'GIG-14']",0
CHI-COY,9,-102.5418844,-50.26531802,-16.48294537,-80.74662941,-38.04451102,-1.981156372,CHI_COY,CHI-COY-9,"['AGE', 'BED', 'MAD', 'ART', 'ELK']",CHI-9_COY-9,"['AGE-CHI-9', 'BED-CHI-9', 'CHI-MAD-9', 'ART-COY-12', 'COY-MAD-12', 'COY-ELK-9']","['AGE-CHI', 'BED-CHI', 'CHI-MAD', 'ART-COY', 'COY-ELK', 'COY-MAD']","['AGE-9', 'BED-9', 'MAD-12', 'ART-12', 'MAD-12', 'ELK-9']",0
FOR-HIP,10,-32.92354741,-159.398511,-17.57409037,-1.859306406,-153.773805,-11.69254437,FOR_HIP,FOR-HIP-10,"['EGG', 'OAK', 'GET', 'RUG', 'SAD', 'NEW']",FOR-10_HIP-10,"['EGG-FOR-10', 'FOR-OAK-10', 'FOR-GET-10', 'FOR-RUG-10', 'HIP-SAD-10', 'HIP-RUG-10', 'HIP-NEW-10']","['EGG-FOR', 'FOR-OAK', 'FOR-GET', 'FOR-RUG', 'HIP-SAD', 'HIP-RUG', 'HIP-NEW']","['EGG-10', 'OAK-10', 'GET-10', 'RUG-10', 'SAD-10', 'RUG-10', 'NEW-10']",0
GET-OAK,10,-11.22186041,-148.691116,-35.38363137,18.45301759,-141.007733,-31.06690737,GET_OAK,GET-OAK-10,"['CAB', 'COP', 'FOR', 'WOW', 'NEW', 'DAD', 'ROB']",GET-10_OAK-10,"['CAB-GET-10', 'COP-GET-10', 'FOR-GET-10', 'GET-WOW-10', 'GET-NEW-10', 'CAB-OAK-10', 'DAD-OAK-10', 'FOR-OAK-10', 'OAK-ROB-10']","['CAB-GET', 'COP-GET', 'FOR-GET', 'GET-WOW', 'GET-NEW', 'CAB-OAK', 'DAD-OAK', 'FOR-OAK', 'OAK-ROB']","['CAB-10', 'COP-10', 'FOR-10', 'WOW-10', 'NEW-10', 'CAB-10', 'DAD-10', 'FOR-10', 'ROB-10']",1
